Participant,Condition,startedwith,Track,QoM
ID10,3D,2D-first,Brass (ID7),3.150771870771894
ID10,2D,2D-first,Voice (ID9),2.189769211571733
ID10,3D,2D-first,Voice (ID9),4.210186262320204
ID11,2D,3D-first,Percussions (ID1),3.3381603623047904
ID11,3D,3D-first,Percussions (ID1),3.888201449269065
ID11,2D,3D-first,Xylophone (ID3),7.016702094067443
ID11,3D,3D-first,Xylophone (ID3),4.054150806172996
ID11,2D,3D-first,Texture (ID5),3.423613667287862
ID11,3D,3D-first,Texture (ID5),5.971607196995552
ID11,2D,3D-first,Brass (ID7),11.202925413696798
ID11,3D,3D-first,Brass (ID7),3.4799923640830057
ID11,2D,3D-first,Voice (ID9),3.904349597356053
ID11,3D,3D-first,Voice (ID9),3.6366110243924057
ID12,2D,2D-first,Percussions (ID1),12.061505544571919
ID12,3D,2D-first,Percussions (ID1),5.081147750378246
ID12,2D,2D-first,Xylophone (ID3),0.0
ID12,3D,2D-first,Xylophone (ID3),7.792450412199601
ID12,2D,2D-first,Texture (ID5),2.5708573186059898
ID12,3D,2D-first,Texture (ID5),2.349430197010355
ID12,2D,2D-first,Brass (ID7),5.685440916926157
ID12,3D,2D-first,Brass (ID7),6.354209758180517
ID12,2D,2D-first,Voice (ID9),4.46810136269313
ID12,3D,2D-first,Voice (ID9),7.64401903485665
